公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
宇视科技,软件开发工程师（C/C++/C#/嵌入式/）,8k-14k,"移动互联网,信息安全 D轮及以上 2000人以上",经验不限 本科,“氛围好、带薪年假、年终分红、年轻活跃”,云计算 视频 C C++ 音视频 ,[历城区]
国子软件,JAVA、C#、Android、IOS开发工程师,6k-8k,"移动互联网,其他 未融资 500-2000人",经验应届毕业生 本科,"“六险一金,岗前培训,解决落户,薪资待遇高”",C#/.NET Java ,[高新区]
济钢防务,C#前端工程师,8k-16k,"通讯电子,软件开发 未融资 50-150人",经验1-3年 本科,“福利待遇优厚，发展前景广阔”,前端开发 ,[历城区]
神博,"C#,WPF工程师",5k-10k,硬件 不需要融资 50-150人,经验1-3年 大专,“五险一金，周末双休，带薪年假，团队旅游，”,后端 Wpf MySQL ,[高新区]
中弘,c#高级开发工程师,7k-10k,"移动互联网,医疗丨健康 未融资 50-150人",经验1-3年 不限,"“周末双休,节假日,不加班”",软件开发 Java ,[高新区]
金现代,java开发工程师,5k-10k,"移动互联网,信息安全 上市公司 500-2000人",经验不限 本科,“职位晋升，动态岗级，周末双休”,企业服务 后端 ,[高新区]
远信数通,.NET软件开发工程师,6k-10k,"企业服务,软件开发 未融资 15-50人",经验3-5年 本科,“发展空间大，空虚岗位多”,企业服务 大数据 软件开发 ,[长清区]
绿创智能,.net开发工程师,7k-8k,"软件开发,物联网 未融资 50-150人",经验1-3年 大专,“.NET”,.NET MySQL 数据库 软件开发 ,[历城区]
签里眼,软件测试工程师,4k-6k,软件开发 未融资 15-50人,经验1-3年 本科,“牛人团队，弹性工作，生日礼包，定期体检”,功能测试 Web测试 Android测试 IOS测试 ,[历下区]
浪潮通软,Java开发工程师,10k-18k,企业服务 上市公司 500-2000人,经验3-5年 本科,“稳定 薪高 福利好 平台好 高端客户”,Java 全栈 Node.js ,[市政府]
神荼科技,渗透测试工程师,10k-15k,"信息安全,区块链 天使轮 15-50人",经验1-3年 本科,“弹性工作制”,安全测试 渗透测试 ,[历城区]
济钢防务,c语言开发工程师,10k-15k,"通讯电子,软件开发 未融资 50-150人",经验1-3年 硕士,“发展前景广阔，有较多与空天院交流学习机会”,即时通讯 C C++ C# ,[历城区]
汇佳软件,技术经理,8k-13k,"教育,其他 上市公司 15-50人",经验5-10年 本科,“福利待遇”,技术管理 部门管理 高级技术管理 ,[高新区]
南软,开发工程师,5k-6k·13薪,金融 上市公司 500-2000人,经验应届毕业生 本科,“国企、五险一金、带薪培训、工作轻松”,C# ,[市中区]
海典软件,项目经理,7k-14k,医疗丨健康 上市公司 150-500人,经验1-3年 本科,“健康体检，带薪年假，节日福利，职级薪酬”,医疗健康 新零售 解决方案 实施 数据库 需求分析 ,[槐荫区]
乐速科技,项目经理,8k-14k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“朝九晚六，双休，法定假日，班车节假日福利等”,大数据 物流 实施 解决方案 数据库 ,[历城区]
山东盛地,软件开发工程师,8k-15k,医疗丨健康 未融资 50-150人,经验1-3年 大专,“公司提供不仅是工作，更是一个发展平台”,C# .NET ,[历下区]
悦实信息,软件开发工程师,6k-12k,"硬件,软件开发 未融资 少于15人",经验1-3年 本科,“双休，五险一金；年底分红；话费补贴；餐补”,体育 大数据 C# .NET 数据库 ,[高新区]
享云信息,net开发,3k-5k,移动互联网 未融资 少于15人,经验1年以下 不限,“固定薪资加无上限提成”,后端 docker C#/.NET .NET ,[高新区]
智锐科技,unity3d开发工程师,8k-13k,VR丨AR、软件开发 未融资 15-50人,经验3-5年 本科,“五险，13薪，项目提成，带薪年假等”,移动互联网 工具软件 Socket技术 多线程 移动端 ,[历城区]
资旗源,软件开发工程师,6k-10k,"企业服务,移动互联网 上市公司 50-150人",经验3-5年 大专,“五险一金，带薪年假”,C#/.NET 服务器端 JS Javascript ,[郎茂山]
山东国舜集团,IT工程师,6k-10k,其他 未融资 2000人以上,经验1-3年 本科,“节日福利、社保福利、绩效奖金、年终奖金”,企业服务 其他 系统运维 IT支持 网络运维 信息安全 ,[长清区]
树湾科技,WPF开发工程师,12k-18k,"企业服务,信息安全 天使轮 15-50人",经验3-5年 大专,“周末双休，大牛带队，合资企业”,工具软件 Wpf Winform ,[高新区]
东方鸿泰,.net开发工程师,8k-13k,移动互联网 未融资 50-150人,经验5-10年 大专,"“五险一金,员工旅游,交通补住,节日福利”",ASP C#/.NET ,[高新区]
