民宿标题,价格,地利,评论数,得分,适合居住人数
【重磅首推：来丽江95%的人都不知道的全网爆红波西米亚打卡点】零压助眠双床·院内甚至有小溪·连住接机,216,None,403,5.0,2
丽江古城民宿●连住两晚接机接站●观景大床,99,近狮子山万古楼,6545,5.0,2
丽江古城北门年度人气推荐民宿·近四方街大水车·超大露台可观景北门阳光一居,146,近木府,12829,5.0,2
丽江古城必住榜·近木府的花园美宿·大床房『订3晚免费接机︱有停车位︱带空调︱免费茶点︱行李接送』,205,None,805,5.0,2
【丽江古城高端民宿榜】·两晚接机或接站·波西米亚网红露台·沉浸式花园体验·零压睡眠·智能马桶,143,近木府,5052,5.0,2
丽江古城民宿•连住二晚免费接机接站•轻奢观景大床•空调•旅游攻略行程规划网红吊椅/木府四方街大水车。,134,近木府,3873,5.0,2
古城内【安心住已消毒】高端花园露台民宿【阳光落地窗+可选浴缸+三晚免费接+智能家居+私人订制旅游】,156,近木府,9247,5.0,2
丽江古城民宿近大水车【雪山就在你眼前，网红平台，免费拍照”】连住两晚免费接机接站·网红一居·私人订制,113,None,1928,5.0,2
【首推探店：连爱马仕都圈粉的丽江超隐蔽小众雪山景观点】免费和服拍照·零压助眠·拎行李·免费接机,142,近狮子山万古楼,10731,5.0,2
丽江古城|浸润在唐诗里的雅舍|地暖大床房|网红打卡|两晚免费接机|专业从业人员免费旅游攻略策划|,157,近木府,1252,5.0,2
『重磅首推→超小众独立院落空间群•独立式分庭花园露台观雪山打卡点』全息零压助眠一居•接机停车严格消杀,168,近狮子山万古楼,2113,5.0,2
丽江古城～浪漫满屋～轻奢大床～二晚接机接站～相遇丽江！私人行程定制，品茶聊天，晒太阳,144,None,1793,5.0,2
丽江古城民宿·连住两晚免费接机接站·旅游行程规划·庭院观景大床·品茶聊天·摇篮吊椅拍照·撸猫撸狗,113,近狮子山万古楼,8691,5.0,2
丽江古城人气晚安好睡榜·波西米亚观景打卡·【零压睡眠智能房】·接机·木府·古城内·智能马桶·部分浴缸,160,None,802,5.0,2
【丽江古城人气榜·大研花巷观景】中央空调TOTO卫浴鹅绒被乳胶床·网红打卡·房型随机·实物比照片漂亮,185,None,1442,5.0,2
丽江古城必住榜·近木府的花园美宿·大床房『订3晚免费接机︱有停车位︱带空调︱免费茶点︱行李接送』,205,None,805,5.0,2
古城｜烟雨两居｜三晚接机｜观景｜四方街,202,近狮子山万古楼,382,5.0,4
丽江古城北门年度人气推荐民宿·近四方街大水车·超大露台可观景北门阳光一居,146,近木府,12829,5.0,2
古城内【安心住已消毒】高端花园露台民宿【阳光落地窗+可选浴缸+三晚免费接+智能家居+私人订制旅游】,156,近木府,9247,5.0,2
隐•轻奢露台花园观景.随机安排房型.空凋. 免费私人订制攻略,197,近木府,1452,5.0,2
丽江古城民宿•连住二晚免费接机接站•轻奢观景大床•空调•旅游攻略行程规划网红吊椅/木府四方街大水车。,134,近木府,3873,5.0,2
丽江古城|浸润在唐诗里的雅舍|地暖大床房|网红打卡|两晚免费接机|专业从业人员免费旅游攻略策划|,157,近木府,1252,5.0,2
【丽江古城内观景民宿】网红绝美大床/双床【限量升级家庭房】免费停车•2晚接站3晚接机•省线旅游攻略,214,近狮子山万古楼,10216,5.0,2
【首推探店：连爱马仕都圈粉的丽江超隐蔽小众雪山景观点】免费和服拍照·零压助眠·拎行李·免费接机,142,近狮子山万古楼,10731,5.0,2
丽江古城民宿·连住两晚免费接机接站·旅游行程规划·庭院观景大床·品茶聊天·摇篮吊椅拍照·撸猫撸狗,113,近狮子山万古楼,8691,5.0,2
丽江古城*双人标准房*近木府*空调*庭院*交通便利*三晚免接*独立无线网络*旅游规划*品茶,88,近木府,8650,5.0,2
『重磅首推→超小众独立院落空间群•独立式分庭花园露台观雪山打卡点』全息零压助眠一居•接机停车严格消杀,168,近狮子山万古楼,2113,5.0,2
古城内四合院•免费限量停车•空调阳光双床房•旅游策划•近观景平台•一对一店长服务•赠晚安甜汤•地图,165,近狮子山万古楼,549,5.0,2
【丽江古城内热门人气民宿】两晚免费接机+图片实拍+每日消毒安心入住+轻奢大床,173,近古城北门,7955,5.0,2
丽江古城～浪漫满屋～轻奢大床～二晚接机接站～相遇丽江！私人行程定制，品茶聊天，晒太阳,144,None,1793,5.0,2
丽江古城必住榜·近木府的花园美宿·大床房『订3晚免费接机︱有停车位︱带空调︱免费茶点︱行李接送』,205,None,805,5.0,2
雅致轻奢两居室（可住四人）·有空调可做饭 ·柯基萌宠·连住接机· ·进出方便不用拖行李,254,近古城北门,1962,5.0,4
丽江古城两室一厅套房可做饭连住3晚免接机,162,近古城北门,969,4.9,4
古城内【安心住已消毒】高端花园露台民宿【阳光落地窗+可选浴缸+三晚免费接+智能家居+私人订制旅游】,156,近木府,9247,5.0,2
丽江古城.陌隐随机房.免费体验摄影师旅拍.免费制定旅游行程攻略.空调.接机.接站,131,近木府,11373,5.0,2
丽江古城&木府*顶楼观景大露台*庭院一居【大床/双床随机安排】3晚免费接机&跟我游旅行社*旅游规划,88,None,942,5.0,2
丽江古城|浸润在唐诗里的雅舍|地暖大床房|网红打卡|两晚免费接机|专业从业人员免费旅游攻略策划|,157,近木府,1252,5.0,2
【丽江古城元气小院榜单】精选雅致格调大床房·连住三晚免费接机接站·旅游资讯·私享行程规划·品茶聊天·,165,None,224,5.0,2
