公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
小蟾科技,C#软件工程师,8k-12k,"电商,移动互联网 不需要融资 150-500人",经验1-3年 大专,“五险一金 周末双休 带薪年假等”,电商 C# ,[高新区]
心田花开,C#研发工程师,8k-12k,教育 未融资 500-2000人,经验不限 不限,“晋升空间大；优秀而有活力的团队”,.NET C# C ,[桐梓林]
成都佳发,C#开发工程师,6k-12k,教育 上市公司 500-2000人,经验1-3年 本科,“蓝海行业 上市公司 股权激励 项目奖金”,教育 后端 C#/.NET ,[高新区]
新蛋,C# 开发工程师,10k-15k,电商 不需要融资 500-2000人,经验3-5年 大专,“知名美国电商 十三薪绩效分红”,Javascript Windows MySQL C#/.NET ,[高新区]
四川医信,c#开发工程师,6k-12k,"移动互联网,医疗丨健康 未融资 150-500人",经验不限 大专,“五险一金，餐补，房补，通讯补贴，带薪年假”,医疗健康 C# ,[高新区]
仟翼扶摇,c#开发工程师,7k-12k·14薪,"电商,旅游 不需要融资 15-50人",经验1-3年 本科,“团队氛围和谐、晋升薪酬体系健全”,电商 旅游 Java C# ,[武侯区]
CLPS,c#中级开发,10k-15k,"数据服务,金融 未融资 500-2000人",经验3-5年 大专,“六险一金，十三薪”,信息安全 企业服务 C#/.NET ,[高新区]
迅游网络,c#开发工程师,10k-15k,移动互联网 上市公司 150-500人,经验3-5年 本科,“六险一金、周末双休、扁平管理、标准开发流程”,.NET C# C++ ,[武侯区]
华鼎智胜,c#开发工程师,8k-12k,移动互联网 不需要融资 15-50人,经验3-5年 本科,“五险一金 周末双休”,C# ,[高新区]
华鼎智胜,c#开发工程师,8k-12k,移动互联网 不需要融资 15-50人,经验1-3年 大专,“五险一金，周末双休”,C# .NET ,[高新区]
安必奇,asp.net(.net core)C#,8k-15k,其他 未融资 50-150人,经验应届毕业生 本科,“薪资高于行业标准，可面议”,C#/.NET C++ Linux/Unix ASP ,[高新区]
奥诚科技,C#/.net开发工程师,6k-8k,信息安全 未融资 50-150人,经验1-3年 本科,“五险一金、周末双休、专业培训、绩效奖金等”,.NET C# ,[武侯区]
垒知四川,c#开发工程师,9k-16k,"软件开发,物联网 上市公司 50-150人",经验3-5年 本科,“朝九晚五 年终奖金 出国旅行 定期体检”,C# ,[高新区]
香多多,C#开发工程师,13k-17k,"电商,消费生活 未融资 50-150人",经验3-5年 本科,“外资，出国培训机会”,后端 C#/.NET ,[红星路]
世纪阳天,C#开发工程师（中级）,8k-12k,"移动互联网,游戏 不需要融资 150-500人",经验1-3年 大专,“双休、入职六险一金、食堂包午饭、免费停车”,C# .NET ,[火车南站]
四川赛科,高级C#/.net 软件工程师,11k-20k,通讯电子 未融资 50-150人,经验3-5年 本科,“年底多薪”,后端 C#/.NET ,[郫县]
中亚通茂,C#开发工程师,6k-12k,"信息安全,硬件 上市公司 150-500人",经验1-3年 本科,"“军工行业,可弹性工作,周末双休,员工旅游”",Java 软件开发 ,[武侯区]
