公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
支点互动,php工程师,6k-10k·13薪,"移动互联网,企业服务 不需要融资 少于15人",经验1-3年 大专,“绩效奖金、带薪休假 、五险一金”,新零售 电商 MySQL PHP docker ,[观山湖区]
星光互动,php开发工程师,5k-7k·13薪,文娱丨内容 不需要融资 少于15人,经验1-3年 不限,“小团队 关系简单 氛围好”,PHP 软件开发 ,[南明区]
程兴服务,php开发工程师,6k-9k,软件开发 不需要融资 少于15人,经验1-3年 大专,“发展前景好”,PHP Java ,[南明区]
行度人工智能,php开发工程师,8k-12k,"企业服务,人工智能 不需要融资 15-50人",经验1-3年 大专,“技术大牛 团队年轻化 团队氛围好 发展前景好”,大数据 PHP MySQL ,[南明区]
益天医疗,php开发工程师,8k-13k,"电商,医疗丨健康 未融资 15-50人",经验3-5年 本科,“IT精英、团队氛围好”,云计算 大数据 MySQL PHP ,[南明区]
恰同学少年科技,php开发工程师,6k-9k,"移动互联网,电商 天使轮 15-50人",经验1-3年 本科,“福利待遇好，发展前景好”,大数据 移动互联网 Javascript HTML/CSS Yii HTML5 ,[花溪区]
亿算网络,php开发工程师,5k-10k,移动互联网 未融资 少于15人,经验1-3年 本科,“能力学习爱好者 会有不一样的收获”,移动互联网 Node.js Erlang 后端 Ruby ,[南明区]
贵州众信云信息技术有限公司,高级PHP开发工程师,8k-10k,"移动互联网,信息安全 上市公司 2000人以上",经验3-5年 本科,“国企，股份”,PHP Java Javascript MySQL ,[花溪区]
贵阳讯鸟,php开发工程师,6k-12k,数据服务 未融资 150-500人,经验1-3年 本科,“五险一金，带薪年假，节假日福利”,PHP 后端 Linux/Unix Python ,[花果园]
八角亭传媒,php开发工程师,5k-7k,"企业服务,软件开发 不需要融资 15-50人",经验1-3年 本科,“创业公司”,分类信息 本地生活 Linux/Unix 移动开发 网络优化 数据挖掘 ,[花果园]
友杰科技,php开发工程师,5k-7k,移动互联网 / /,经验1-3年 本科,“朝九晚六、法定节假日、节日福利”,后端 HTML/CSS 软件开发 PHP ,[花果园]
博蕴智尚,php开发工程师,6k-12k,移动互联网 未融资 15-50人,经验不限 不限,“晋升空间大，公司年底福利丰厚。带薪年假”,后端 服务器端 PHP ,[南明区]
金山云,PHP高级工程师,8k-15k,"移动互联网,数据服务 D轮及以上 2000人以上",经验5-10年 本科,“阿里平台、技术大牛、朝阳行业”,本地生活 电商 后端 PHP 全栈 ,[花果园]
惠民安居,PHP研发工程师,6k-10k,"移动互联网,消费生活 不需要融资 50-150人",经验1-3年 大专,“双休，不加班，餐补，房补，节礼，五险一金”,后端 PHP ,[观山湖区（金阳新区）]
讯书服务,php工程师,3k-5k,软件开发 未融资 少于15人,经验1-3年 不限,“公司氛围轻松，还有福利活动”,企业服务 后端 JS PHP HTML/CSS ,[花果园]
梵途,技术总监,18k-23k·13薪,移动互联网 天使轮 15-50人,经验5-10年 本科,“国内领先的大宗建材网络货运综合服务平台”,团队建设 领导力 决策能力 高级技术管理 ,[观山湖区（金阳新区）]
医医科技,架构师,15k-25k,"医疗丨健康,软件开发 天使轮 50-150人",经验5-10年 本科,“双休，弹性工作，福利补贴，13薪。”,医疗健康 移动互联网 ,[南明区]
网蛛科技,Golang程序员,7k-12k,医疗丨健康 未融资 500-2000人,经验1-3年 本科,“双休”,通信/网络设备 移动互联网 Golang 后端 Java ,[南明区]
