公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
久思微,PHP开发工程师,5k-10k,"企业服务,数据服务 未融资 15-50人",经验1-3年 本科,"“扁平化管理,良好的团队,专业的开发”",后端 MySQL PHP ,[高新区]
麦客CRM,php开发工程师,12k-16k,企业服务 不需要融资 15-50人,经验不限 本科,“弹性工作；交通便利；办公环境好”,企业服务 工具软件 PHP ,[锦江区]
马来西亚东南亚玩家商城股份有限公司成都代表处,PHP开发工程师,5k-7k,"移动互联网,电商 未融资 50-150人",经验1-3年 大专,"“六险一金,带薪年假,周末双休,节日福利”",电商 游戏 后端 PHP MySQL ,[新鸿路]
聚美优品,PHP开发工程师,15k-25k,电商 上市公司 2000人以上,经验3-5年 本科,"“五险一金,绩效奖金,餐饮补贴”",电商 MySQL ,[高新区]
物联小哥,php开发工程师,8k-15k,物联网 未融资 少于15人,经验3-5年 本科,“初创团队、成长性”,PHP ,[武侯区]
盛趣时代,PHP开发工程师,8k-12k,"移动互联网,电商 不需要融资 150-500人",经验3-5年 大专,"“五险一金,朝十晚六,周末双休,交补和餐补”",后端 Linux/Unix PHP ,[石羊]
晨云信息,php,6k-8k,"移动互联网,数据服务 未融资 15-50人",经验1-3年 本科,“福利好，加班少，行业前景好”,教育 后端 软件开发 ,[青羊区]
鱼爪网,php开发工程师,8k-13k,"移动互联网,电商 不需要融资 2000人以上",经验1-3年 大专,“有竞争力的薪资 大平台”,电商 后端 Laravel J2EE Yii ,[春熙路]
成信宏,php后端,7k-12k,企业服务 未融资 50-150人,经验1-3年 本科,“周末双休 年终奖 带薪年假 五险”,PHP Python MySQL ,[人民北路]
仙潭酒业集团,php,8k-15k,其他 不需要融资 500-2000人,经验1-3年 本科,“周末双休 、五险一金、绩效奖金”,广告营销 新零售 后端 服务器端 ,[高新区]
花椒直播,高级PHP开发工程师,15k-25k,社交 不需要融资 150-500人,经验5-10年 本科,“福利好，空间大”,服务器端 ,[高新区]
之了,php开发工程师,8k-12k·13薪,"电商,教育 不需要融资 500-2000人",经验1-3年 本科,“晋升途径 高手云集”,PHP ,[犀浦]
之了,php开发工程师,8k-12k,"电商,教育 不需要融资 500-2000人",经验1-3年 本科,“生日福利、培训福利、过节福利、法定节假日”,电商 教育 ,[郫县]
医联,高级php开发工程师,17k-25k,"社交,医疗丨健康 D轮及以上 500-2000人",经验3-5年 本科,“独角兽企业 互联网医疗风口 准上市”,医疗健康 PHP Golang ,[高新区]
恒安瑞隆,php开发工程师,10k-16k,"软件开发,其他 不需要融资 150-500人",经验3-5年 本科,“入职买五险一金 年终奖”,医疗健康 PHP Golang ,[高新区]
晨云信息,php开发工程师,6k-8k,"移动互联网,数据服务 未融资 15-50人",经验1-3年 大专,“周末双休、加班少、交通便利、节日福利”,教育 ,[青羊区]
无敌勇士科技,php开发工程师,10k-20k,移动互联网 未融资 50-150人,经验3-5年 本科,"“五险一金,餐费补贴,交通补贴，带薪年假”",移动互联网 服务器端 Python PHP Golang ,[武侯区]
岽岳软件,php开发工程师,11k-16k,软件开发 不需要融资 少于15人,经验3-5年 大专,“五险，双休，法定假日，加长年假，氛围轻松”,即时通讯 社交 PHP 服务器端 docker ,[高新区]
华文科技,php开发工程师,10k-15k,移动互联网 不需要融资 15-50人,经验1-3年 本科,“朝九晚六、前景行业、扁平化管理、年轻团队”,企业服务 工具软件 PHP 全栈 后端 ,[高新区]
欢聚堂,高级php开发工程师,15k-25k·15薪,"移动互联网,电商 不需要融资 150-500人",经验3-5年 本科,“六险一金，13-16薪，周末双休”,MySQL ,[武侯区]
心田花开,PHP架构师,20k-30k,教育 未融资 500-2000人,经验5-10年 本科,“晋升空间大 优秀而有活力的团队 五险一金”,教育 MySQL 服务器端 ,[桐梓林]
果酱文化,php开发工程师,10k-20k·14薪,"移动互联网,文娱丨内容 B轮 15-50人",经验3-5年 本科,“年轻开明，项目发展好，氛围融洽，有大神”,MySQL ,[高新区]
